,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
347,Kaeo,NZ,-35.1,173.7833,54.46,90,99,4.18,overcast clouds
348,Kavaratti,IN,10.5669,72.642,83.64,80,91,18.21,overcast clouds
349,Videira,BR,-27.0083,-51.1517,63.5,60,100,2.37,overcast clouds
350,Oktyabrskiy,RU,54.4815,53.471,40.95,81,91,1.43,overcast clouds
351,Aktau,KZ,43.65,51.2,59.58,68,0,17.94,clear sky
352,Tilichiki,RU,60.4667,166.1,36.16,83,0,4.12,clear sky
353,Boguchar,RU,49.9358,40.545,49.32,90,90,9.46,light rain
354,Pevek,RU,69.7008,170.3133,34.65,89,89,11.32,overcast clouds
355,Coquimbo,CL,-29.9533,-71.3436,62.33,72,0,8.05,clear sky
356,Pombas,CV,17.1503,-25.0201,73.18,72,41,12.26,scattered clouds
357,Karratha,AU,-20.7377,116.8463,77.88,74,100,5.82,overcast clouds
358,Alofi,NU,-19.0595,-169.9187,69.69,100,5,1.14,clear sky
359,Pangnirtung,CA,66.1451,-65.7125,35.6,64,75,5.75,broken clouds
360,Abiramam,IN,9.4667,78.45,84.72,60,100,11.18,overcast clouds
361,Kernersville,US,36.1199,-80.0736,87.48,54,75,14.97,broken clouds
362,Comodoro Rivadavia,AR,-45.8667,-67.5,49.86,40,20,16.11,few clouds
363,Puri,IN,19.8,85.85,81.12,82,100,6.06,overcast clouds
364,Botwood,CA,49.1499,-55.3482,68.23,61,95,12.62,overcast clouds
365,Santa Maria,BR,-29.6842,-53.8069,67.3,56,0,3.44,clear sky
366,Port-Cartier,CA,50.0334,-66.8654,59.22,76,100,5.06,overcast clouds
367,Abu Road,IN,24.4833,72.7833,84.15,68,0,11.41,clear sky
368,Myitkyina,MM,25.3833,97.4,72.12,97,30,1.95,scattered clouds
369,Dunedin,NZ,-45.8742,170.5036,47.8,66,67,5.01,broken clouds
370,Arroyo,ES,41.6096,-4.7969,68.14,64,20,6.91,few clouds
371,Isangel,VU,-19.55,169.2667,75.47,85,70,6.85,broken clouds
372,Xichang,CN,27.8964,102.2634,62.71,81,99,1.81,overcast clouds
373,Sal Rei,CV,16.1833,-22.9167,75.4,69,75,14.97,broken clouds
374,Miyako,JP,39.6367,141.9525,52.65,88,100,3.98,overcast clouds
375,Bohonye,HU,46.4134,17.3804,65.71,69,74,5.91,broken clouds
376,Aripuana,BR,-9.1667,-60.6333,89.73,38,12,2.39,few clouds
377,Sawakin,SD,19.1059,37.3321,83.66,64,3,13.04,clear sky
378,Curup,ID,-3.4667,102.5333,68.05,98,68,1.36,light rain
379,Yatou,CN,37.15,122.3833,61.39,81,18,8.32,few clouds
380,Port Hedland,AU,-20.3167,118.5667,77.05,100,100,5.75,overcast clouds
381,Mitsamiouli,KM,-11.3847,43.2844,81.14,77,19,5.06,few clouds
382,Santa Isabel Do Rio Negro,BR,-0.4139,-65.0192,85.77,62,99,2.71,overcast clouds
383,Pritzwalk,DE,53.1494,12.1741,52.7,77,32,2.15,scattered clouds
384,Mwinilunga,ZM,-11.7358,24.4293,62.37,56,68,5.32,broken clouds
385,Cockburn Town,TC,21.4612,-71.1419,84.16,65,40,11.5,scattered clouds
386,Shubarkuduk,KZ,49.1447,56.4872,55.31,81,100,17.6,overcast clouds
387,Bundaberg,AU,-24.85,152.35,63.21,98,100,1.01,overcast clouds
388,Nhulunbuy,AU,-12.2333,136.7667,75.81,94,40,4.61,scattered clouds
389,Lanigan,CA,51.8501,-105.0344,58.89,27,100,12.88,overcast clouds
390,Zhigansk,RU,66.7697,123.3711,36.52,76,100,5.12,overcast clouds
391,Yarovoye,RU,52.9273,78.58,56.39,32,100,14.56,overcast clouds
392,Fukue,JP,32.6881,128.8419,68.14,78,100,6.87,overcast clouds
393,Kiama,AU,-34.6833,150.8667,54.88,93,100,3.0,light rain
394,Krasnovka,RU,48.8177,40.0923,50.95,85,55,9.53,broken clouds
395,Poum,NC,-20.2333,164.0167,78.33,79,0,11.18,clear sky
396,Beitbridge,ZW,-22.2167,30.0,62.89,38,0,12.15,clear sky
397,Sakakah,SA,29.9697,40.2064,87.37,24,4,20.24,clear sky
398,Vao,NC,-22.6667,167.4833,74.88,86,100,9.66,overcast clouds
399,Zhangye,CN,38.9342,100.4517,67.73,31,72,9.8,broken clouds
400,Alcaniz,ES,41.05,-0.1333,83.73,26,100,3.98,overcast clouds
401,Vila,PT,42.0304,-8.1588,57.7,86,93,3.27,overcast clouds
402,Rio Grande,BR,-32.035,-52.0986,68.11,67,0,6.93,clear sky
403,Nador,MA,35.174,-2.9287,77.25,50,0,14.97,clear sky
404,Tema,GH,5.667,-0.0166,81.01,74,0,8.05,clear sky
405,Innisfail,AU,-17.5333,146.0333,71.2,86,99,5.3,overcast clouds
406,Ust-Omchug,RU,61.15,149.6333,33.48,98,100,4.07,snow
407,Rawah,IQ,34.4816,41.9093,87.94,10,4,13.8,clear sky
408,Aykhal,RU,66.0,111.5,48.24,63,8,4.54,clear sky
409,Henties Bay,NA,-22.116,14.2845,61.81,62,7,8.93,clear sky
410,Yelovo,RU,57.0538,54.9207,34.2,86,68,6.29,broken clouds
411,Buraydah,SA,26.326,43.975,95.45,8,1,16.67,clear sky
412,Mikhaylovka,RU,50.06,43.2379,52.79,97,100,5.41,overcast clouds
413,Cap Malheureux,MU,-19.9842,57.6142,73.47,75,6,3.0,clear sky
414,Longyearbyen,SJ,78.2186,15.6401,35.44,87,75,5.75,broken clouds
415,Byron Bay,AU,-28.65,153.6167,58.71,86,44,11.41,scattered clouds
416,Umm Kaddadah,SD,13.6017,26.6876,85.5,15,100,8.84,overcast clouds
417,Willowmore,ZA,-33.2926,23.4895,54.77,57,100,3.31,overcast clouds
418,Sao Jose Da Coroa Grande,BR,-8.8978,-35.1478,79.72,78,6,15.43,clear sky
419,Bernardino De Campos,BR,-23.0131,-49.4742,68.79,44,0,4.68,clear sky
420,Rosetta,EG,31.4044,30.4164,68.59,83,0,15.93,clear sky
421,Tefe,BR,-3.3542,-64.7114,91.51,62,40,3.44,scattered clouds
422,Da Nang,VN,16.0678,108.2208,82.38,89,40,1.14,scattered clouds
423,Arman,RU,59.7,150.1667,41.02,98,100,10.69,moderate rain
424,Grand Gaube,MU,-20.0064,57.6608,75.6,75,7,3.0,clear sky
425,Marzuq,YE,14.4,46.4667,78.53,14,99,0.45,overcast clouds
426,Stornoway,GB,58.2093,-6.3865,49.96,94,100,8.05,heavy intensity rain
427,Udachnyy,RU,66.4167,112.4,48.45,52,10,2.1,clear sky
428,Almaznyy,RU,48.0448,40.045,49.98,91,75,9.31,broken clouds
429,Garissa,KE,-0.4536,39.6401,79.45,71,6,20.29,clear sky
430,Griffith,US,41.5284,-87.4237,64.06,48,100,6.91,overcast clouds
431,Fort Nelson,CA,58.8053,-122.7002,54.99,54,75,6.91,broken clouds
432,Ruhengeri,RW,-1.4998,29.635,57.76,97,100,1.01,overcast clouds
433,Bartlesville,US,36.7473,-95.9808,67.1,40,0,16.11,clear sky
434,Olafsvik,IS,64.8945,-23.7142,45.55,64,1,11.9,clear sky
435,Lazaro Cardenas,MX,17.9583,-102.2,83.61,63,19,10.6,few clouds
436,Bindura,ZW,-17.3019,31.3306,59.27,72,27,4.54,scattered clouds
437,Manyana,BW,-23.4,21.7167,50.79,54,0,6.87,clear sky
438,Bilma,NE,18.6853,12.9164,92.05,9,95,6.51,overcast clouds
439,Hasaki,JP,35.7333,140.8333,57.6,83,100,6.31,light rain
440,Meulaboh,ID,4.1363,96.1285,78.08,87,100,2.1,overcast clouds
441,Muros,ES,42.7762,-9.0603,63.09,92,76,8.84,broken clouds
442,San Patricio,US,28.017,-97.5169,84.83,54,99,13.18,overcast clouds
443,Mamallapuram,IN,12.6264,80.1722,90.05,65,74,14.07,broken clouds
444,Baoqing,CN,46.3317,132.2111,49.51,88,15,5.08,few clouds
445,Bereda,ES,43.2686,-7.5406,62.42,99,100,3.04,overcast clouds
446,Tautira,PF,-17.7333,-149.15,79.23,74,26,14.63,scattered clouds
447,The Valley,AI,18.217,-63.0578,84.34,70,20,11.5,few clouds
448,Patea,NZ,-39.7583,174.4833,52.5,74,5,9.37,clear sky
449,Saint Anthony,US,45.0205,-93.218,57.88,40,75,18.41,broken clouds
450,Sitka,US,57.0531,-135.33,49.89,81,100,8.05,overcast clouds
451,Bathsheba,BB,13.2167,-59.5167,84.81,70,40,18.41,scattered clouds
452,Fairlie,GB,55.756,-4.8556,54.48,89,40,1.01,scattered clouds
453,Tual,ID,-5.6667,132.75,83.1,76,63,14.0,broken clouds
454,Altoona,US,40.5187,-78.3947,85.66,57,18,7.0,few clouds
455,Shakawe,BW,-18.3667,21.85,53.37,40,0,3.44,clear sky
456,Pringsewu,ID,-5.3582,104.9744,73.11,96,76,1.39,broken clouds
457,San Clemente,US,33.427,-117.612,80.55,71,15,7.0,few clouds
458,Nanortalik,GL,60.1432,-45.2371,37.51,98,100,6.85,light rain
459,Makakilo City,US,21.3469,-158.0858,78.01,66,100,11.5,overcast clouds
460,Gull Lake,CA,50.1001,-108.4847,54.54,27,16,10.49,few clouds
461,Lasa,IT,46.6166,10.7002,72.48,90,100,5.79,light rain
462,Ostrovnoy,RU,68.0531,39.5131,30.67,81,18,10.02,few clouds
463,Puerto Escondido,MX,15.85,-97.0667,88.63,66,0,8.05,clear sky
464,Revelstoke,CA,50.9832,-118.2023,64.42,36,0,6.91,clear sky
465,Komsomolskiy,UZ,40.4272,71.7189,54.32,82,40,0.0,scattered clouds
466,Balancan,MX,17.8,-91.5333,102.2,33,0,6.71,clear sky
467,Hillsborough,US,37.5741,-122.3794,82.38,57,20,14.97,few clouds
468,Samarai,PG,-10.6167,150.6667,80.47,79,30,6.87,scattered clouds
469,Lompoc,US,34.6391,-120.4579,77.68,65,0,16.11,clear sky
470,Molteno,ZA,-31.3968,26.3625,47.21,82,23,2.39,few clouds
471,La Ronge,CA,55.1001,-105.2842,64.62,16,75,14.97,broken clouds
472,Gueret,FR,46.1667,1.8667,70.38,77,92,3.51,overcast clouds
473,Felanitx,ES,39.4696,3.1483,73.92,64,11,5.19,few clouds
474,Marrakesh,MA,31.6315,-8.0083,87.87,33,0,10.36,clear sky
475,Bagdarin,RU,54.4333,113.6,38.86,83,38,3.42,scattered clouds
476,Valparaiso,CL,-33.0393,-71.6273,66.43,61,0,5.75,clear sky
477,Iqaluit,CA,63.7506,-68.5145,26.33,86,100,25.32,overcast clouds
478,Nouadhibou,MR,20.931,-17.0347,67.98,77,1,20.71,clear sky
479,Ossora,RU,59.2353,163.0719,35.26,94,53,2.77,broken clouds
480,Carupano,VE,10.6678,-63.2585,83.34,62,92,15.79,overcast clouds
481,Raga,SS,8.4596,25.678,81.79,49,98,1.68,overcast clouds
482,Lagos,NG,6.5833,3.75,76.96,88,100,4.76,moderate rain
483,Tucuman,AR,-26.8241,-65.2226,77.0,33,0,3.44,clear sky
484,Moron,AR,-34.6534,-58.6198,69.49,56,100,6.13,overcast clouds
485,Katobu,ID,-4.9408,122.5276,74.64,94,28,4.12,light rain
486,Wanning,CN,18.8003,110.3967,78.67,91,100,3.36,overcast clouds
487,Kaabong,UG,3.4836,34.1492,66.15,75,97,3.69,overcast clouds
488,Antalaha,MG,-14.9003,50.2788,71.92,84,25,7.23,scattered clouds
489,Puerto Baquerizo Moreno,EC,-0.9,-89.6,76.19,78,100,6.91,overcast clouds
490,Tall Kayf,TR,37.0833,41.0667,70.14,16,64,10.76,broken clouds
491,Pascagoula,US,30.3658,-88.5561,84.25,69,75,13.8,broken clouds
492,San Cristobal,VE,7.7669,-72.225,82.58,41,1,8.05,clear sky
493,Burayevo,RU,55.8407,55.4083,34.86,89,37,5.12,scattered clouds
494,Luklukan,PH,14.3254,122.7124,78.31,88,100,5.06,overcast clouds
495,Gat,IL,31.61,34.7642,68.81,25,0,6.96,clear sky
496,Labuhan,ID,-6.8844,112.2051,79.52,84,100,10.96,overcast clouds
497,Shitkino,RU,56.3703,98.3543,45.54,79,19,3.58,few clouds
498,Capitan Bado,PY,-23.2667,-55.5333,69.73,45,100,6.29,overcast clouds
499,Dalvik,IS,65.9702,-18.5286,40.93,96,100,6.71,overcast clouds
500,Bosaso,SO,11.2842,49.1816,90.93,36,21,5.68,few clouds
501,Tucurui,BR,-3.7661,-49.6725,82.53,73,46,4.09,scattered clouds
502,Dingle,PH,10.9995,122.6711,77.2,88,100,4.23,overcast clouds
503,Sorong,ID,-0.8833,131.25,77.67,78,100,3.91,overcast clouds
504,Gucheng,CN,35.9115,111.3192,68.18,42,16,1.48,few clouds
505,Chapada Dos Guimaraes,BR,-15.4606,-55.7497,80.26,29,10,2.77,clear sky
506,Una,IN,20.8167,71.0333,85.08,65,100,18.12,overcast clouds
507,Ancud,CL,-41.8697,-73.8203,48.94,68,0,14.14,light rain
508,Arlit,NE,18.7369,7.3853,94.44,13,100,7.58,overcast clouds
509,Monte Alegre,BR,-2.0078,-54.0692,83.23,70,98,2.21,overcast clouds
510,Moanda,GA,-1.5575,13.2178,71.64,94,43,2.57,light rain
511,Sartana,UA,47.1744,37.6927,55.42,81,50,9.6,scattered clouds
512,Fort Carson,US,38.7375,-104.7889,44.31,93,100,20.71,overcast clouds
513,Inirida,CO,3.8653,-67.9239,82.0,74,89,3.27,overcast clouds
514,Manta,EC,-0.95,-80.7333,85.78,66,40,11.5,scattered clouds
515,Belmonte,BR,-15.8631,-38.8828,75.94,71,14,10.74,few clouds
516,Cedartown,US,34.0537,-85.255,90.91,54,68,6.55,broken clouds
517,Elizabeth City,US,36.2946,-76.2511,89.02,72,0,13.8,clear sky
518,Luderitz,NA,-26.6481,15.1594,58.19,69,24,7.27,few clouds
519,Antofagasta,CL,-23.65,-70.4,60.08,72,31,8.88,scattered clouds
520,Erzin,TR,36.9559,36.2,62.15,79,48,5.57,scattered clouds
521,Banff,CA,51.1762,-115.5698,56.43,22,100,5.75,overcast clouds
522,Abnub,EG,27.2696,31.1511,76.39,20,0,9.55,clear sky
523,Yuancheng,CN,36.652,107.7896,62.2,57,69,2.26,broken clouds
524,Shingu,JP,33.7333,135.9833,62.85,74,0,6.35,clear sky
525,Padang,ID,-0.9492,100.3543,76.78,87,71,3.98,broken clouds
526,Stokmarknes,NO,68.5646,14.9108,49.98,81,75,4.61,broken clouds
527,Kungur,RU,57.4368,56.9593,34.45,82,79,7.81,broken clouds
528,Broken Hill,AU,-31.95,141.4333,54.07,81,3,5.93,clear sky
529,Mombetsu,JP,44.3525,143.3525,48.85,98,53,2.33,broken clouds
530,Dzaoudzi,YT,-12.7887,45.2699,80.49,83,0,9.22,clear sky
531,Presidencia Roque Saenz Pena,AR,-26.7852,-60.4388,75.2,37,0,5.66,clear sky
532,Roald,NO,62.5833,6.1333,60.17,87,75,4.61,light rain
533,Aksarka,RU,66.5606,67.7975,33.24,89,100,27.16,overcast clouds
534,Carolina,PR,18.3808,-65.9574,86.52,72,20,20.71,few clouds
535,Whitehorse,CA,60.7161,-135.0538,57.97,24,75,3.44,broken clouds
536,Chapais,CA,49.7834,-74.8492,33.58,93,100,4.54,light snow
537,Odienne,CI,9.51,-7.5692,76.5,76,95,7.27,overcast clouds
538,Liangxiang,CN,39.7319,116.14,75.81,29,100,2.98,overcast clouds
539,Beringovskiy,RU,63.05,179.3167,39.72,77,100,8.41,overcast clouds
540,Boende,CD,-0.2167,20.8667,77.32,82,100,2.46,overcast clouds
541,Gravdal,NO,68.1214,13.5031,46.29,100,75,3.44,light rain
542,Tuy Hoa,VN,13.0833,109.3,78.62,82,100,12.28,overcast clouds
543,Taltal,CL,-25.4,-70.4833,66.18,66,22,6.85,few clouds
544,Tamandare,BR,-8.7597,-35.1047,79.97,77,10,14.67,clear sky
545,Santona,ES,43.4439,-3.4576,66.6,94,100,15.64,light rain
546,Nouna,BF,12.7333,-3.8667,87.62,43,100,1.1,light rain
547,Havre-Saint-Pierre,CA,50.2334,-63.5986,59.36,58,100,6.91,overcast clouds
548,Auki,SB,-8.7676,160.7034,77.0,88,22,3.89,few clouds
549,Ville-Marie,CA,47.3335,-79.433,47.55,75,100,6.53,overcast clouds
550,Kupang,ID,-10.1667,123.5833,76.23,84,36,8.81,scattered clouds
551,Wajima,JP,37.4,136.9,58.87,87,59,14.65,broken clouds
552,Kangaatsiaq,GL,68.3065,-53.4641,31.1,89,100,12.88,overcast clouds
553,Saldanha,ZA,-33.0117,17.9442,59.63,87,91,5.77,overcast clouds
554,Kalur Kot,PK,32.1564,71.2594,95.41,9,14,8.63,few clouds
555,Fujin,CN,47.26,132.0322,49.1,81,66,7.94,broken clouds
556,Borogontsy,RU,62.6683,131.1683,38.26,78,38,4.7,scattered clouds
557,Mantua,IT,45.1667,10.7833,81.64,72,91,1.99,overcast clouds
558,Salme,NP,28.0369,85.0942,61.09,76,100,5.08,overcast clouds
559,Desaguadero,PE,-16.5656,-69.0417,53.56,26,7,9.78,clear sky
560,Nong Ki,TH,14.6868,102.538,74.88,88,94,4.9,overcast clouds
561,Krasnoshchekovo,RU,51.6708,82.7289,55.83,63,100,9.26,light rain
562,Cozumel,MX,20.5083,-86.9458,89.67,72,75,16.11,broken clouds
563,Molochnoye,RU,59.2917,39.6787,32.86,75,98,5.77,overcast clouds
564,Show Low,US,34.2542,-110.0298,74.66,17,0,18.41,clear sky
565,Carutapera,BR,-1.195,-46.02,80.8,87,29,4.88,scattered clouds
566,Thanh Hoa,VN,19.8,105.7667,77.29,92,100,2.26,moderate rain
567,Noyon,FR,49.5833,3.0,65.05,74,100,5.37,overcast clouds
568,Nanyuki,KE,0.0167,37.0728,58.8,81,24,5.26,few clouds
569,Walvis Bay,NA,-22.9575,14.5053,61.09,45,8,12.19,clear sky
570,Freiberg,DE,50.9167,13.3667,58.69,78,68,1.54,broken clouds
571,Pulandian,CN,39.3953,121.9669,61.29,71,5,4.27,clear sky
572,Nemuro,JP,43.3236,145.575,45.23,98,100,11.92,moderate rain
573,Tulun,RU,54.5611,100.5792,53.96,58,100,2.93,overcast clouds
574,Batagay-Alyta,RU,67.8006,130.4114,31.01,89,98,3.53,overcast clouds
575,Swan Hill,AU,-35.3378,143.5544,48.42,69,0,7.31,clear sky
576,Flinders,AU,-34.5833,150.8552,54.68,92,100,3.0,overcast clouds
577,Dorado,PR,18.4588,-66.2677,86.52,76,75,17.27,broken clouds
578,Bonthe,SL,7.5264,-12.505,78.6,85,100,9.17,light rain
579,Nelson Bay,AU,-32.7167,152.15,57.99,99,100,0.96,light rain
580,Codrington,AU,-38.2667,141.9667,43.59,95,4,7.72,clear sky
581,Muncar,ID,-8.4333,114.3333,75.92,81,99,3.13,overcast clouds
582,Hailey,US,43.5196,-114.3153,46.9,76,75,9.22,broken clouds
583,Kenitra,MA,34.261,-6.5802,68.76,77,48,7.49,scattered clouds
584,Manati,PR,18.4275,-66.4921,85.05,77,99,17.38,overcast clouds
585,Sindhnur,IN,15.7833,76.7667,79.97,70,50,19.55,scattered clouds
586,Vanavara,RU,60.34,102.2797,43.27,93,28,3.02,scattered clouds
587,Emerald,AU,-23.5333,148.1667,60.35,87,96,12.66,overcast clouds
588,Lacombe,CA,52.4668,-113.7353,60.1,34,94,6.67,overcast clouds
589,Acambay,MX,19.9558,-99.8417,79.5,21,93,11.52,overcast clouds
590,Hue,VN,16.4667,107.6,80.71,94,40,3.44,mist
591,Katsuura,JP,35.1333,140.3,64.9,88,66,9.51,broken clouds
592,Pakxan,LA,18.3778,103.6601,74.46,96,100,4.05,moderate rain
593,La Baneza,ES,42.3003,-5.8977,62.4,74,10,10.31,clear sky
594,Caravelas,BR,-17.7125,-39.2481,74.57,66,2,6.96,clear sky
595,Morondava,MG,-20.2833,44.2833,74.61,75,1,9.42,clear sky
596,Honjo,JP,36.2333,139.1833,60.42,89,100,3.85,overcast clouds
597,Matina,CR,10.0761,-83.2895,85.87,71,67,6.2,broken clouds
598,Axim,GH,4.8699,-2.2405,76.17,86,100,4.92,overcast clouds
599,Saint-Augustin,CA,51.226,-58.6502,54.21,81,74,11.92,broken clouds
600,Casas Grandes,MX,30.3667,-107.95,80.44,16,100,11.61,overcast clouds
601,Atar,MR,20.5169,-13.0499,103.87,8,98,1.66,overcast clouds
602,Guilin,CN,25.2819,110.2864,66.31,98,100,2.62,overcast clouds
603,Suez,EG,29.9737,32.5263,73.85,38,0,14.65,clear sky
604,Tankara,IN,22.6667,70.7333,83.91,70,0,20.13,clear sky
605,Sabya,SA,17.1495,42.6254,89.22,65,0,0.83,clear sky
606,Ahuimanu,US,21.4447,-157.8378,79.2,70,100,11.5,overcast clouds
607,La Rioja,ES,42.25,-2.5,69.58,57,72,3.27,broken clouds
608,Villarrica,PY,-25.75,-56.4333,68.4,66,100,1.97,overcast clouds
609,Maltahohe,NA,-24.8333,16.9833,54.54,46,19,7.18,few clouds
610,Tommot,RU,58.9564,126.2925,39.2,93,40,1.57,scattered clouds
611,Isabela,PH,6.7085,121.9711,78.53,86,100,3.04,light rain
612,Inhambane,MZ,-23.865,35.3833,68.43,92,96,4.32,moderate rain
613,Bichura,RU,50.5881,107.6022,55.09,55,97,2.57,overcast clouds
614,Sangar,RU,63.9242,127.4739,37.33,96,62,1.45,broken clouds
615,Pilar,BR,-9.5972,-35.9567,80.53,71,9,10.02,clear sky
616,Vila Do Maio,CV,15.1333,-23.2167,75.99,78,8,15.84,clear sky
617,Punta Umbria,ES,37.1821,-6.9661,70.23,62,1,13.47,clear sky
618,Svetlyy,RU,54.675,20.1347,48.25,90,100,7.58,overcast clouds
619,Male,MV,4.1748,73.5089,83.35,77,88,13.58,overcast clouds
620,Iwanuma,JP,38.1047,140.8594,55.92,89,100,1.52,light rain
621,Pecos,US,31.4229,-103.4932,67.03,32,100,3.44,overcast clouds
622,Dewa,IN,27.0333,81.1667,82.4,55,2,9.22,clear sky
623,Inverell,AU,-29.7833,151.1167,58.66,89,100,5.01,overcast clouds
624,Itarema,BR,-2.9248,-39.9167,81.79,81,61,8.01,broken clouds
625,Namibe,AO,-15.1961,12.1522,69.6,72,0,3.13,clear sky
626,Khasan,RU,42.4308,130.6434,51.42,79,15,3.58,few clouds
627,Tolaga Bay,NZ,-38.3667,178.3,53.74,71,3,9.26,clear sky
628,Abu Samrah,SY,35.3029,37.1841,62.64,59,8,16.67,clear sky
629,Zaraza,VE,9.3503,-65.3245,96.96,30,99,4.83,overcast clouds
630,Pochutla,MX,15.7432,-96.4661,90.82,39,0,10.54,clear sky
631,Sola,VU,-13.8833,167.55,81.0,75,18,3.11,few clouds
632,Alta Floresta,BR,-9.8756,-56.0861,91.22,29,0,4.61,clear sky
633,Linguere,SN,15.3953,-15.1193,94.01,18,89,17.87,overcast clouds
634,Araouane,ML,18.9048,-3.5265,96.58,7,0,11.95,clear sky
635,Mogzon,RU,51.7435,111.9606,48.7,82,100,5.79,light rain
636,Rudnogorsk,RU,57.2639,103.7519,42.03,86,100,2.86,overcast clouds
637,Avera,US,33.194,-82.5271,89.65,36,100,11.54,overcast clouds
638,Gushikawa,JP,26.3544,127.8686,74.43,83,75,6.91,broken clouds
639,Chippewa Falls,US,44.9369,-91.3929,54.37,52,100,11.5,overcast clouds
640,Pelham,US,33.2857,-86.81,91.06,53,0,9.22,clear sky
641,Talas,TR,38.6908,35.5538,61.47,59,75,11.5,broken clouds
642,Akhmim,EG,26.5622,31.745,77.79,19,0,11.41,clear sky
643,Jalu,LY,29.0331,21.5482,77.52,21,0,9.84,clear sky
644,Navahrudak,BY,53.6,25.8333,47.5,95,100,5.66,overcast clouds
645,Nelson,NZ,-41.2833,173.2833,45.16,80,3,5.53,clear sky
646,Harper,LR,4.375,-7.7169,76.84,80,100,6.64,light rain
647,Itaituba,BR,-4.2761,-55.9836,85.14,65,97,1.77,overcast clouds
648,Arcata,US,40.8665,-124.0828,74.75,74,0,9.22,clear sky
649,Bereznik,RU,62.8551,42.7072,36.81,57,100,10.42,overcast clouds
650,Ketchikan,US,55.3422,-131.6461,57.67,44,0,11.5,clear sky
651,Adre,TD,13.4667,22.2,88.14,13,60,15.01,broken clouds
652,Rayong,TH,12.8333,101.4333,82.8,99,100,7.4,overcast clouds
653,Vestmannaeyjar,IS,63.4427,-20.2734,51.84,73,5,3.36,clear sky
654,Milan,IT,45.4643,9.1895,79.5,65,40,6.91,scattered clouds
655,Ginda,IN,30.6945,78.4932,55.62,66,0,6.22,clear sky
656,Koumac,NC,-20.5667,164.2833,75.18,88,1,8.61,clear sky
657,Morehead,US,37.2711,-87.1764,67.86,73,100,4.61,overcast clouds
658,Riyadh,SA,24.6877,46.7219,93.34,9,0,9.15,clear sky
659,La Palma,US,33.8464,-118.0467,81.19,61,20,11.5,few clouds
660,Ayacucho,PE,-13.1583,-74.2239,73.26,16,0,6.91,clear sky
661,Jacqueville,CI,5.2052,-4.4146,75.85,82,100,9.69,overcast clouds
662,Ouadda,CF,8.0777,22.4007,75.47,59,55,3.91,broken clouds
663,Khorixas,NA,-20.3667,14.9667,63.68,17,1,12.64,clear sky
664,Luohe,CN,33.5717,114.0353,65.84,74,0,4.52,clear sky
665,Uruzgan,AF,32.8333,66.0,61.83,18,0,7.11,clear sky
666,Fort-Shevchenko,KZ,44.5086,50.263,59.67,83,0,23.22,clear sky
667,Lethem,GY,3.3803,-59.7968,72.82,95,100,2.17,moderate rain
668,Bani Walid,LY,31.7566,13.9942,72.07,24,0,11.92,clear sky
669,Novikovo,RU,51.1537,37.8879,44.76,95,87,8.37,overcast clouds
670,Prieska,ZA,-29.6641,22.7474,57.56,54,23,1.41,few clouds
671,Nalbari,IN,26.4456,91.4354,76.98,89,92,2.59,overcast clouds
672,Hervey Bay,AU,-25.2986,152.8535,70.21,73,100,18.81,overcast clouds
673,Bud,US,39.447,-86.1758,67.41,55,100,12.24,overcast clouds
674,Batsfjord,NO,70.6345,29.7185,40.93,93,75,5.75,broken clouds
675,Chapleau,CA,47.8405,-83.4034,46.49,57,75,11.5,broken clouds
676,Krasnyy Chikoy,RU,50.3643,108.7512,50.79,74,100,1.12,overcast clouds
677,Soe,ID,-9.8607,124.284,64.56,94,35,4.07,scattered clouds
678,Luganville,VU,-15.5333,167.1667,76.55,91,12,3.62,few clouds
