,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
78,Lorengau,PG,-2.0226,147.2712,82.9,70,90,11.56,overcast clouds
79,Vila Franca Do Campo,PT,37.7167,-25.4333,64.81,90,74,4.7,light rain
80,Acapulco,MX,16.8634,-99.8901,84.02,65,100,9.22,overcast clouds
81,Celestun,MX,20.8667,-90.4,89.06,66,52,11.5,broken clouds
82,Banda Aceh,ID,5.5577,95.3222,81.0,79,100,13.56,overcast clouds
83,Torrington,US,41.8007,-73.1212,92.79,49,62,3.0,broken clouds
84,Lucapa,AO,-8.4192,20.7447,76.44,43,100,1.54,overcast clouds
85,San Rafael,AR,-34.6177,-68.3301,73.36,16,49,12.19,scattered clouds
86,Kokopo,PG,-4.352,152.2633,76.06,75,73,3.44,broken clouds
87,Jamestown,US,42.097,-79.2353,57.52,97,100,13.8,mist
88,Beloha,MG,-25.1667,45.05,65.77,84,4,6.89,clear sky
89,Clyde River,CA,70.4692,-68.5914,19.63,93,100,32.21,snow
90,Alice Springs,AU,-23.7,133.8833,45.95,71,44,0.0,scattered clouds
91,Port Lincoln,AU,-34.7333,135.8667,61.61,78,100,10.04,overcast clouds
92,Talnakh,RU,69.4865,88.3972,33.21,100,100,2.08,overcast clouds
93,Naze,JP,28.3667,129.4833,66.83,72,100,2.8,light rain
94,Moindou,NC,-21.6924,165.677,74.91,85,26,5.86,scattered clouds
95,Bestobe,KZ,52.4994,73.0975,48.52,51,0,14.29,clear sky
96,Touros,BR,-5.1989,-35.4608,79.3,85,24,13.62,few clouds
97,Avarua,CK,-21.2078,-159.775,78.85,89,75,13.8,broken clouds
98,Vardo,NO,70.3705,31.1107,37.38,93,75,14.97,broken clouds
99,Falmouth,GB,50.1544,-5.0711,58.1,87,86,8.25,overcast clouds
100,Thinadhoo,MV,0.5333,72.9333,83.86,75,79,11.81,broken clouds
101,Balabac,PH,7.9868,117.0645,81.32,77,100,7.11,overcast clouds
102,The Pas,CA,53.8251,-101.2541,66.22,19,20,20.71,few clouds
103,Onega,RU,63.9061,38.1404,32.5,79,28,9.19,scattered clouds
104,Narasannapeta,IN,18.4167,84.05,84.27,74,5,3.71,clear sky
105,Praia Da Vitoria,PT,38.7333,-27.0667,66.45,100,75,5.26,light intensity drizzle
106,Yumen,CN,40.2833,97.2,64.94,23,18,13.51,few clouds
107,Casa Nova,BR,-9.4167,-41.1333,86.13,41,32,15.23,scattered clouds
108,Mumford,GH,5.2618,-0.759,76.35,84,100,7.78,overcast clouds
109,Casablanca,MA,33.5928,-7.6192,70.02,77,92,9.66,overcast clouds
110,Souillac,MU,-20.5167,57.5167,73.63,72,3,13.33,clear sky
111,Dikson,RU,73.5069,80.5464,21.96,92,76,8.61,broken clouds
112,Ulladulla,AU,-35.35,150.4667,54.5,85,100,8.1,moderate rain
113,Kemijarvi,FI,66.7131,27.4306,47.35,83,30,8.39,scattered clouds
114,Boa Vista,BR,2.8197,-60.6733,75.18,88,100,6.91,light rain
115,Dubrajpur,IN,23.8,87.3833,86.16,48,88,1.92,overcast clouds
116,Bredasdorp,ZA,-34.5322,20.0403,56.37,90,38,5.41,scattered clouds
117,Geraldton,AU,-28.7667,114.6,64.81,72,40,17.27,scattered clouds
118,Castro,BR,-24.7911,-50.0119,64.49,51,4,5.06,clear sky
119,Hami,CN,42.8,93.45,80.17,18,94,12.66,overcast clouds
120,Tasiilaq,GL,65.6145,-37.6368,33.96,97,100,8.03,overcast clouds
121,Puerto Ayora,EC,-0.7393,-90.3518,78.76,76,66,11.05,broken clouds
122,Leningradskiy,RU,69.3833,178.4167,33.67,92,100,3.94,overcast clouds
123,Chuy,UY,-33.6971,-53.4616,63.21,57,39,4.88,scattered clouds
124,Sumter,US,28.7086,-82.0831,91.94,65,100,10.51,overcast clouds
125,Provideniya,RU,64.3833,-173.3,49.15,43,100,10.78,overcast clouds
126,Sinegorye,RU,62.0788,150.477,35.35,93,100,3.06,light rain
127,Nioro,GM,13.35,-15.75,86.9,39,67,15.95,broken clouds
128,Goderich,CA,43.7501,-81.7165,45.91,92,100,10.78,overcast clouds
129,Palana,RU,59.1167,159.9667,36.82,80,47,7.16,scattered clouds
130,Tanabe,JP,33.7333,135.3667,63.25,80,0,3.74,clear sky
131,Baruun-Urt,MN,46.6806,113.2792,57.24,34,16,4.43,few clouds
132,Rosetown,CA,51.5501,-108.0014,58.66,22,100,13.13,overcast clouds
133,Tsaratanana,MG,-16.7833,47.65,69.33,82,7,7.78,clear sky
134,Rock Sound,BS,24.9,-76.2,79.05,79,87,17.9,overcast clouds
135,Ribeira Grande,PT,38.5167,-28.7,64.8,100,75,3.44,light intensity drizzle
136,Birjand,IR,32.8663,59.2211,64.44,27,1,5.79,clear sky
137,Yeniseysk,RU,58.4497,92.1703,47.93,73,8,4.54,clear sky
138,Palu,ID,-0.8917,119.8707,76.28,94,100,2.3,overcast clouds
139,Chokurdakh,RU,70.6333,147.9167,32.68,100,100,3.36,overcast clouds
140,Cape Town,ZA,-33.9258,18.4232,63.37,81,81,3.65,broken clouds
141,Victoria,HK,22.2855,114.1577,77.18,90,100,15.99,moderate rain
142,Varca,IN,15.2167,73.9167,81.09,83,100,5.73,overcast clouds
143,Cabo San Lucas,MX,22.8909,-109.9124,84.61,44,0,3.44,clear sky
144,Bardiyah,LY,31.7561,25.0865,67.01,75,0,14.07,clear sky
145,Tura,IN,25.5198,90.2201,72.48,93,98,3.62,overcast clouds
146,Mar Del Plata,AR,-38.0023,-57.5575,62.62,58,0,6.91,clear sky
147,Waipawa,NZ,-41.4122,175.5153,49.53,75,95,11.34,overcast clouds
148,Shache,CN,38.4167,77.2406,71.51,32,100,12.03,light rain
149,Port Blair,IN,11.6667,92.75,82.96,81,100,21.79,overcast clouds
150,Kavieng,PG,-2.5744,150.7967,82.67,67,14,17.22,few clouds
151,Sao Joao Dos Patos,BR,-6.495,-43.7022,83.7,52,99,6.35,overcast clouds
152,Roebourne,AU,-20.7833,117.1333,78.21,75,100,4.68,overcast clouds
153,Sovetskiy,RU,61.3614,63.5842,38.3,96,100,9.26,overcast clouds
154,Noyabrsk,RU,63.1994,75.4507,57.97,63,13,25.41,few clouds
155,Champerico,GT,14.3,-91.9167,86.54,72,100,9.75,overcast clouds
156,Arraial Do Cabo,BR,-22.9661,-42.0278,73.26,68,0,16.11,clear sky
157,Sungaipenuh,ID,-2.0833,101.3833,63.57,95,57,2.21,broken clouds
158,Cidreira,BR,-30.1811,-50.2056,62.58,66,100,4.29,overcast clouds
159,Kautokeino,NO,69.0125,23.0412,35.82,97,100,2.93,overcast clouds
160,Ilulissat,GL,69.2167,-51.1,35.62,87,75,4.61,broken clouds
161,Rawson,AR,-43.3002,-65.1023,48.7,83,100,19.24,moderate rain
162,Kodiak,US,57.79,-152.4072,51.31,76,75,12.66,broken clouds
163,Kirovsk,UA,48.6375,38.6428,49.57,87,19,10.22,few clouds
164,Dharchula,IN,29.85,80.5333,64.33,77,38,3.51,scattered clouds
165,Songea,TZ,-10.6833,35.65,61.25,74,7,1.39,clear sky
166,Yar-Sale,RU,66.8333,70.8333,33.46,93,100,25.57,overcast clouds
167,Winona,US,43.9666,-91.7668,54.43,57,100,11.79,overcast clouds
168,Santa Catarina De Tepehuanes,MX,25.35,-105.7333,86.13,10,2,8.21,clear sky
169,Pskov,RU,57.8136,28.3496,51.71,30,0,6.71,clear sky
170,Pacific Grove,US,36.6177,-121.9166,69.22,80,20,10.36,few clouds
171,Raudeberg,NO,61.9875,5.1352,50.86,84,100,13.65,light rain
172,Teya,RU,60.3778,92.6267,44.92,87,0,1.99,clear sky
173,Rio Gallegos,AR,-51.6226,-69.2181,42.13,48,3,11.34,clear sky
174,Mahebourg,MU,-20.4081,57.7,73.26,69,12,14.88,few clouds
175,Beruwala,LK,6.4788,79.9828,79.7,86,33,9.89,scattered clouds
176,Cherskiy,RU,68.75,161.3,50.2,53,93,14.81,overcast clouds
177,Kieta,PG,-6.2167,155.6333,77.79,82,75,2.73,broken clouds
178,Hilo,US,19.7297,-155.09,87.28,67,40,6.91,scattered clouds
179,Severo-Kurilsk,RU,50.6789,156.125,40.86,96,100,15.37,light rain
180,Berlevag,NO,70.8578,29.0864,40.95,81,75,6.91,broken clouds
181,Nikolskoye,RU,59.7035,30.7861,48.09,57,7,2.21,clear sky
182,Tabriz,IR,38.08,46.2919,62.06,36,40,4.61,scattered clouds
183,Kruisfontein,ZA,-34.0033,24.7314,53.89,76,100,2.8,overcast clouds
184,Zvishavane,ZW,-20.3267,30.0665,55.33,46,0,2.01,clear sky
185,Mizan Teferi,ET,6.9833,35.5833,62.73,94,100,1.77,overcast clouds
186,Asau,RO,46.4333,26.4,58.28,86,96,0.96,overcast clouds
187,Port Hardy,CA,50.6996,-127.4199,54.95,63,100,2.01,overcast clouds
188,Kaitangata,NZ,-46.2817,169.8464,46.53,84,83,13.11,broken clouds
189,Vuktyl,RU,63.8567,57.3094,34.41,95,100,10.56,snow
190,Amudat,UG,1.95,34.95,73.85,62,87,1.66,overcast clouds
191,Lagoa,PT,39.05,-27.9833,62.24,92,100,5.97,overcast clouds
192,Tala,EG,30.6803,30.9429,67.06,64,0,7.63,clear sky
193,Lata,PT,40.1629,-8.3327,67.08,82,62,8.12,broken clouds
194,Naryan-Mar,RU,67.6713,53.087,28.33,84,100,23.44,overcast clouds
195,Pella,RU,59.7775,30.8181,48.25,57,9,2.08,clear sky
196,Chernyshevskiy,RU,63.0128,112.4714,47.41,78,75,3.56,broken clouds
197,Foumban,CM,5.7291,10.9001,65.48,93,100,0.85,light rain
198,Wagar,SD,16.1525,36.2032,99.39,21,3,3.6,clear sky
199,Salalah,OM,17.0151,54.0924,84.29,84,75,6.91,broken clouds
