City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
114,Boa Vista,BR,75.18,light rain,2.8197,-60.6733,Aipana Plaza Hotel
115,Dubrajpur,IN,86.16,overcast clouds,23.8,87.3833,Garai Hotel
117,Geraldton,AU,64.81,scattered clouds,-28.7667,114.6,Broadwater Mariner Resort
118,Castro,BR,64.49,clear sky,-24.7911,-50.0119,CHACARA BAILLY
119,Hami,CN,80.17,overcast clouds,42.8,93.45,Laoyutang Resort
121,Puerto Ayora,EC,78.76,broken clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
123,Chuy,UY,63.21,scattered clouds,-33.6971,-53.4616,Nuevo Hotel Plaza
127,Nioro,GM,86.9,broken clouds,13.35,-15.75,
130,Tanabe,JP,63.25,clear sky,33.7333,135.3667,美吉屋旅館
133,Tsaratanana,MG,69.33,clear sky,-16.7833,47.65,
134,Rock Sound,BS,79.05,overcast clouds,24.9,-76.2,Pink Corral Bay Property
135,Ribeira Grande,PT,64.8,light intensity drizzle,38.5167,-28.7,Quinta da Meia Eira
136,Birjand,IR,64.44,clear sky,32.8663,59.2211,Birjand Tourist Hotel
138,Palu,ID,76.28,overcast clouds,-0.8917,119.8707,Hotel Santika Palu
140,Cape Town,ZA,63.37,broken clouds,-33.9258,18.4232,"Radisson Blu Hotel Waterfront, Cape Town"
141,Victoria,HK,77.18,moderate rain,22.2855,114.1577,Mini Central
142,Varca,IN,81.09,overcast clouds,15.2167,73.9167,"Taj Exotica Resort & Spa, Goa Benaulim"
143,Cabo San Lucas,MX,84.61,clear sky,22.8909,-109.9124,Hotel Tesoro Los Cabos
144,Bardiyah,LY,67.01,clear sky,31.7561,25.0865,بورتو بردية
145,Tura,IN,72.48,overcast clouds,25.5198,90.2201,Hotel RIKMAN Continental
146,Mar Del Plata,AR,62.62,clear sky,-38.0023,-57.5575,Gran Hotel Mar del Plata
148,Shache,CN,71.51,light rain,38.4167,77.2406,Delong Hotel
149,Port Blair,IN,82.96,overcast clouds,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
150,Kavieng,PG,82.67,few clouds,-2.5744,150.7967,Nusa Island Retreat
151,Sao Joao Dos Patos,BR,83.7,overcast clouds,-6.495,-43.7022,Montesino Hotel & Restaurante
152,Roebourne,AU,78.21,overcast clouds,-20.7833,117.1333,Latitude20 Roebourne Village
155,Champerico,GT,86.54,overcast clouds,14.3,-91.9167,"Hotel y restaurante ""El Diamante"""
156,Arraial Do Cabo,BR,73.26,clear sky,-22.9661,-42.0278,Pousada Porto Praia
157,Sungaipenuh,ID,63.57,broken clouds,-2.0833,101.3833,Penginapan Citra Alam
158,Cidreira,BR,62.58,overcast clouds,-30.1811,-50.2056,Hotel Castelo
164,Dharchula,IN,64.33,scattered clouds,29.85,80.5333,Mahara Hotel
165,Songea,TZ,61.25,clear sky,-10.6833,35.65,mtakuja
168,Santa Catarina De Tepehuanes,MX,86.13,clear sky,25.35,-105.7333,hotel plaza
170,Pacific Grove,US,69.22,few clouds,36.6177,-121.9166,Lovers Point Inn
